"Mode","Backend","RioSendDispatchMode","HoldSeconds","SessionCount","PayloadSize","ResponsesTotal","ResponseAvgPerSec","AvgRecvTPS","AvgSendTPS","AvgRecvBps","AvgSendBps","AvgCpuPercent","EchoAvgMs","EchoMaxMs","FinalRioSendPrepareCount","FinalRioSendPrepareAvgNs","FinalRioSendPrepareMaxNs","FinalRioSendRingTouchCount","FinalRioSendRingCrossThreadTouchCount","FinalRioSendRingCrossThreadRatePercent","FinalRioDirectSendRingLockCount","FinalRioDirectSendRingLockWaitAvgNs","FinalRioDirectSendRingLockWaitMaxNs","FinalRioDirectSendRingLockHoldAvgNs","FinalRioDirectSendRingLockHoldMaxNs","SampleCount","ServerReady","ClientTimedOut","ServerExitCode","ClientExitCode","Succeeded","OutputDirectory"
"RioDirect","Rio","Direct","7200","250","16","310502945","43125.4090277778","43612.4611602753","43612.4597555837","1133922.16406799","872315.320972047","65.6622025565394","5.781","132.867","310477104","281.42","2539100","1242154515","620953577","49.99","1242154515","149.48","2790000","305.43","5314300","7119","True","False",,"0","True","C:\Users\psa\Desktop\Test\echo-rio-cache-pingpong-2h-2mode\Out\\bench\20260408_173748_echo_rio_cache_pingpong_2h_2mode\rio_direct_2h"
"RioOwnerThread","Rio","OwnerThread","7200","250","16","413938445","57491.4506944444","58921.5274021352","58921.5265480427","1531957.86192171","1178497.54163701","59.048029893239","4.333","569.796","413923724","199.59","19829200","1656023088","0","0","0","0","0","0","0","7025","True","False",,"0","True","C:\Users\psa\Desktop\Test\echo-rio-cache-pingpong-2h-2mode\Out\\bench\20260408_173748_echo_rio_cache_pingpong_2h_2mode\rio_owner_thread_2h"
