bucket_start_local,stage,minute_count,minute_timeout_count,minute_avg_ms,overall_count,overall_timeout_count,overall_avg_ms,minute_max1_ms,minute_max1_session,minute_max1_sent_at,minute_max1_recv_at,minute_max2_ms,minute_max2_session,minute_max2_sent_at,minute_max2_recv_at,minute_max3_ms,minute_max3_session,minute_max3_sent_at,minute_max3_recv_at,overall_max1_ms,overall_max1_session,overall_max1_sent_at,overall_max1_recv_at,overall_max2_ms,overall_max2_session,overall_max2_sent_at,overall_max2_recv_at,overall_max3_ms,overall_max3_session,overall_max3_sent_at,overall_max3_recv_at
2026-04-08 12:11:00.000,room-change,0,0,0.000,250,0,17.490,,,,,,,,,,,,,92.759,95,2026-04-08 12:05:26.625,2026-04-08 12:05:26.718,45.579,96,2026-04-08 12:05:26.798,2026-04-08 12:05:26.843,36.259,97,2026-04-08 12:05:26.859,2026-04-08 12:05:26.896
2026-04-08 12:11:00.000,chatting-response,239905,0,20.959,1588455,0,20.826,89.691,137,2026-04-08 12:11:50.026,2026-04-08 12:11:50.116,89.448,146,2026-04-08 12:11:50.027,2026-04-08 12:11:50.116,78.930,18,2026-04-08 12:11:16.614,2026-04-08 12:11:16.693,220.899,0,2026-04-08 12:06:32.599,2026-04-08 12:06:32.820,220.833,1,2026-04-08 12:06:32.600,2026-04-08 12:06:32.820,220.733,2,2026-04-08 12:06:32.600,2026-04-08 12:06:32.820
2026-04-08 12:12:00.000,login-response,0,0,0.000,250,0,19.774,,,,,,,,,,,,,44.652,97,2026-04-08 12:05:26.799,2026-04-08 12:05:26.843,35.518,98,2026-04-08 12:05:26.860,2026-04-08 12:05:26.896,32.242,241,2026-04-08 12:05:36.029,2026-04-08 12:05:36.061
2026-04-08 12:12:00.000,room-list,0,0,0.000,250,0,16.312,,,,,,,,,,,,,61.806,96,2026-04-08 12:05:26.736,2026-04-08 12:05:26.798,31.817,237,2026-04-08 12:05:35.792,2026-04-08 12:05:35.824,31.774,236,2026-04-08 12:05:35.729,2026-04-08 12:05:35.761
2026-04-08 12:12:00.000,room-change,0,0,0.000,250,0,17.490,,,,,,,,,,,,,92.759,95,2026-04-08 12:05:26.625,2026-04-08 12:05:26.718,45.579,96,2026-04-08 12:05:26.798,2026-04-08 12:05:26.843,36.259,97,2026-04-08 12:05:26.859,2026-04-08 12:05:26.896
2026-04-08 12:12:00.000,chatting-response,243267,0,21.291,1831722,0,20.888,78.796,1,2026-04-08 12:12:31.951,2026-04-08 12:12:32.030,78.689,3,2026-04-08 12:12:31.951,2026-04-08 12:12:32.030,78.685,85,2026-04-08 12:12:12.189,2026-04-08 12:12:12.267,220.899,0,2026-04-08 12:06:32.599,2026-04-08 12:06:32.820,220.833,1,2026-04-08 12:06:32.600,2026-04-08 12:06:32.820,220.733,2,2026-04-08 12:06:32.600,2026-04-08 12:06:32.820
2026-04-08 12:13:00.000,login-response,0,0,0.000,250,0,19.774,,,,,,,,,,,,,44.652,97,2026-04-08 12:05:26.799,2026-04-08 12:05:26.843,35.518,98,2026-04-08 12:05:26.860,2026-04-08 12:05:26.896,32.242,241,2026-04-08 12:05:36.029,2026-04-08 12:05:36.061
2026-04-08 12:13:00.000,room-list,0,0,0.000,250,0,16.312,,,,,,,,,,,,,61.806,96,2026-04-08 12:05:26.736,2026-04-08 12:05:26.798,31.817,237,2026-04-08 12:05:35.792,2026-04-08 12:05:35.824,31.774,236,2026-04-08 12:05:35.729,2026-04-08 12:05:35.761
2026-04-08 12:13:00.000,room-change,0,0,0.000,250,0,17.490,,,,,,,,,,,,,92.759,95,2026-04-08 12:05:26.625,2026-04-08 12:05:26.718,45.579,96,2026-04-08 12:05:26.798,2026-04-08 12:05:26.843,36.259,97,2026-04-08 12:05:26.859,2026-04-08 12:05:26.896
2026-04-08 12:13:00.000,chatting-response,243304,0,21.238,2075026,0,20.929,78.876,9,2026-04-08 12:13:54.545,2026-04-08 12:13:54.624,78.438,29,2026-04-08 12:13:18.625,2026-04-08 12:13:18.703,78.354,60,2026-04-08 12:13:18.625,2026-04-08 12:13:18.703,220.899,0,2026-04-08 12:06:32.599,2026-04-08 12:06:32.820,220.833,1,2026-04-08 12:06:32.600,2026-04-08 12:06:32.820,220.733,2,2026-04-08 12:06:32.600,2026-04-08 12:06:32.820
