bucket_start_local,stage,minute_count,minute_timeout_count,minute_avg_ms,overall_count,overall_timeout_count,overall_avg_ms,minute_max1_ms,minute_max1_session,minute_max1_sent_at,minute_max1_recv_at,minute_max2_ms,minute_max2_session,minute_max2_sent_at,minute_max2_recv_at,minute_max3_ms,minute_max3_session,minute_max3_sent_at,minute_max3_recv_at,overall_max1_ms,overall_max1_session,overall_max1_sent_at,overall_max1_recv_at,overall_max2_ms,overall_max2_session,overall_max2_sent_at,overall_max2_recv_at,overall_max3_ms,overall_max3_session,overall_max3_sent_at,overall_max3_recv_at
2026-04-07 17:22:00.000,echo-response,2588398,0,5.757,5614310,0,5.345,47.232,158,2026-04-07 17:22:19.978,2026-04-07 17:22:20.025,44.130,206,2026-04-07 17:22:51.268,2026-04-07 17:22:51.312,44.102,63,2026-04-07 17:22:51.268,2026-04-07 17:22:51.312,77.325,38,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.227,84,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.100,60,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707
2026-04-07 17:22:00.000,room-change-list,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:22:00.000,room-change,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:23:00.000,login-response,0,0,0.000,250,0,11.961,,,,,,,,,,,,,56.808,108,2026-04-07 17:20:57.441,2026-04-07 17:20:57.498,42.360,95,2026-04-07 17:20:56.145,2026-04-07 17:20:56.187,39.993,183,2026-04-07 17:21:04.936,2026-04-07 17:21:04.976
2026-04-07 17:23:00.000,room-list,0,0,0.000,250,0,9.746,,,,,,,,,,,,,56.521,240,2026-04-07 17:21:10.663,2026-04-07 17:21:10.719,52.414,128,2026-04-07 17:20:59.441,2026-04-07 17:20:59.494,49.607,210,2026-04-07 17:21:07.650,2026-04-07 17:21:07.700
2026-04-07 17:23:00.000,room-enter,0,0,0.000,250,0,12.861,,,,,,,,,,,,,53.906,127,2026-04-07 17:20:59.372,2026-04-07 17:20:59.426,51.525,156,2026-04-07 17:21:02.254,2026-04-07 17:21:02.305,51.378,49,2026-04-07 17:20:51.555,2026-04-07 17:20:51.607
2026-04-07 17:23:00.000,echo-response,2590369,0,5.753,8204679,0,5.473,45.059,214,2026-04-07 17:23:02.514,2026-04-07 17:23:02.559,45.001,85,2026-04-07 17:23:02.514,2026-04-07 17:23:02.559,44.946,58,2026-04-07 17:23:02.514,2026-04-07 17:23:02.559,77.325,38,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.227,84,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.100,60,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707
2026-04-07 17:23:00.000,room-change-list,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:23:00.000,room-change,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:24:00.000,login-response,0,0,0.000,250,0,11.961,,,,,,,,,,,,,56.808,108,2026-04-07 17:20:57.441,2026-04-07 17:20:57.498,42.360,95,2026-04-07 17:20:56.145,2026-04-07 17:20:56.187,39.993,183,2026-04-07 17:21:04.936,2026-04-07 17:21:04.976
2026-04-07 17:24:00.000,room-list,0,0,0.000,250,0,9.746,,,,,,,,,,,,,56.521,240,2026-04-07 17:21:10.663,2026-04-07 17:21:10.719,52.414,128,2026-04-07 17:20:59.441,2026-04-07 17:20:59.494,49.607,210,2026-04-07 17:21:07.650,2026-04-07 17:21:07.700
2026-04-07 17:24:00.000,room-enter,0,0,0.000,250,0,12.861,,,,,,,,,,,,,53.906,127,2026-04-07 17:20:59.372,2026-04-07 17:20:59.426,51.525,156,2026-04-07 17:21:02.254,2026-04-07 17:21:02.305,51.378,49,2026-04-07 17:20:51.555,2026-04-07 17:20:51.607
2026-04-07 17:24:00.000,echo-response,2587049,0,5.760,10791728,0,5.542,41.183,113,2026-04-07 17:24:03.704,2026-04-07 17:24:03.745,41.107,249,2026-04-07 17:24:03.705,2026-04-07 17:24:03.746,41.031,108,2026-04-07 17:24:03.705,2026-04-07 17:24:03.746,77.325,38,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.227,84,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.100,60,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707
2026-04-07 17:24:00.000,room-change-list,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:24:00.000,room-change,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:25:00.000,login-response,0,0,0.000,250,0,11.961,,,,,,,,,,,,,56.808,108,2026-04-07 17:20:57.441,2026-04-07 17:20:57.498,42.360,95,2026-04-07 17:20:56.145,2026-04-07 17:20:56.187,39.993,183,2026-04-07 17:21:04.936,2026-04-07 17:21:04.976
2026-04-07 17:25:00.000,room-list,0,0,0.000,250,0,9.746,,,,,,,,,,,,,56.521,240,2026-04-07 17:21:10.663,2026-04-07 17:21:10.719,52.414,128,2026-04-07 17:20:59.441,2026-04-07 17:20:59.494,49.607,210,2026-04-07 17:21:07.650,2026-04-07 17:21:07.700
2026-04-07 17:25:00.000,room-enter,0,0,0.000,250,0,12.861,,,,,,,,,,,,,53.906,127,2026-04-07 17:20:59.372,2026-04-07 17:20:59.426,51.525,156,2026-04-07 17:21:02.254,2026-04-07 17:21:02.305,51.378,49,2026-04-07 17:20:51.555,2026-04-07 17:20:51.607
2026-04-07 17:25:00.000,echo-response,2602052,0,5.727,13393780,0,5.578,45.015,160,2026-04-07 17:25:14.236,2026-04-07 17:25:14.281,44.998,82,2026-04-07 17:25:14.236,2026-04-07 17:25:14.281,44.956,200,2026-04-07 17:25:14.236,2026-04-07 17:25:14.281,77.325,38,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.227,84,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.100,60,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707
2026-04-07 17:25:00.000,room-change-list,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:25:00.000,room-change,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:26:00.000,login-response,0,0,0.000,250,0,11.961,,,,,,,,,,,,,56.808,108,2026-04-07 17:20:57.441,2026-04-07 17:20:57.498,42.360,95,2026-04-07 17:20:56.145,2026-04-07 17:20:56.187,39.993,183,2026-04-07 17:21:04.936,2026-04-07 17:21:04.976
2026-04-07 17:26:00.000,room-list,0,0,0.000,250,0,9.746,,,,,,,,,,,,,56.521,240,2026-04-07 17:21:10.663,2026-04-07 17:21:10.719,52.414,128,2026-04-07 17:20:59.441,2026-04-07 17:20:59.494,49.607,210,2026-04-07 17:21:07.650,2026-04-07 17:21:07.700
2026-04-07 17:26:00.000,room-enter,0,0,0.000,250,0,12.861,,,,,,,,,,,,,53.906,127,2026-04-07 17:20:59.372,2026-04-07 17:20:59.426,51.525,156,2026-04-07 17:21:02.254,2026-04-07 17:21:02.305,51.378,49,2026-04-07 17:20:51.555,2026-04-07 17:20:51.607
2026-04-07 17:26:00.000,echo-response,2580081,0,5.775,15973861,0,5.610,44.295,249,2026-04-07 17:26:14.828,2026-04-07 17:26:14.872,44.277,108,2026-04-07 17:26:14.828,2026-04-07 17:26:14.873,44.276,185,2026-04-07 17:26:14.828,2026-04-07 17:26:14.873,77.325,38,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.227,84,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.100,60,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707
2026-04-07 17:26:00.000,room-change-list,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:26:00.000,room-change,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:27:00.000,login-response,0,0,0.000,250,0,11.961,,,,,,,,,,,,,56.808,108,2026-04-07 17:20:57.441,2026-04-07 17:20:57.498,42.360,95,2026-04-07 17:20:56.145,2026-04-07 17:20:56.187,39.993,183,2026-04-07 17:21:04.936,2026-04-07 17:21:04.976
2026-04-07 17:27:00.000,room-list,0,0,0.000,250,0,9.746,,,,,,,,,,,,,56.521,240,2026-04-07 17:21:10.663,2026-04-07 17:21:10.719,52.414,128,2026-04-07 17:20:59.441,2026-04-07 17:20:59.494,49.607,210,2026-04-07 17:21:07.650,2026-04-07 17:21:07.700
2026-04-07 17:27:00.000,room-enter,0,0,0.000,250,0,12.861,,,,,,,,,,,,,53.906,127,2026-04-07 17:20:59.372,2026-04-07 17:20:59.426,51.525,156,2026-04-07 17:21:02.254,2026-04-07 17:21:02.305,51.378,49,2026-04-07 17:20:51.555,2026-04-07 17:20:51.607
2026-04-07 17:27:00.000,echo-response,2535930,0,5.876,18509791,0,5.646,57.488,41,2026-04-07 17:27:46.726,2026-04-07 17:27:46.784,57.271,5,2026-04-07 17:27:46.726,2026-04-07 17:27:46.783,57.196,71,2026-04-07 17:27:46.726,2026-04-07 17:27:46.783,77.325,38,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.227,84,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.100,60,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707
2026-04-07 17:27:00.000,room-change-list,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:27:00.000,room-change,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:28:00.000,login-response,0,0,0.000,250,0,11.961,,,,,,,,,,,,,56.808,108,2026-04-07 17:20:57.441,2026-04-07 17:20:57.498,42.360,95,2026-04-07 17:20:56.145,2026-04-07 17:20:56.187,39.993,183,2026-04-07 17:21:04.936,2026-04-07 17:21:04.976
2026-04-07 17:28:00.000,room-list,0,0,0.000,250,0,9.746,,,,,,,,,,,,,56.521,240,2026-04-07 17:21:10.663,2026-04-07 17:21:10.719,52.414,128,2026-04-07 17:20:59.441,2026-04-07 17:20:59.494,49.607,210,2026-04-07 17:21:07.650,2026-04-07 17:21:07.700
2026-04-07 17:28:00.000,room-enter,0,0,0.000,250,0,12.861,,,,,,,,,,,,,53.906,127,2026-04-07 17:20:59.372,2026-04-07 17:20:59.426,51.525,156,2026-04-07 17:21:02.254,2026-04-07 17:21:02.305,51.378,49,2026-04-07 17:20:51.555,2026-04-07 17:20:51.607
2026-04-07 17:28:00.000,echo-response,2500046,0,5.961,21009837,0,5.684,43.090,215,2026-04-07 17:28:39.591,2026-04-07 17:28:39.634,42.994,35,2026-04-07 17:28:39.591,2026-04-07 17:28:39.634,42.990,61,2026-04-07 17:28:39.591,2026-04-07 17:28:39.634,77.325,38,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.227,84,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707,77.100,60,2026-04-07 17:20:57.630,2026-04-07 17:20:57.707
2026-04-07 17:28:00.000,room-change-list,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:28:00.000,room-change,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 17:29:00.000,login-response,0,0,0.000,250,0,11.961,,,,,,,,,,,,,56.808,108,2026-04-07 17:20:57.441,2026-04-07 17:20:57.498,42.360,95,2026-04-07 17:20:56.145,2026-04-07 17:20:56.187,39.993,183,2026-04-07 17:21:04.936,2026-04-07 17:21:04.976
2026-04-07 17:29:00.000,room-list,0,0,0.000,250,0,9.746,,,,,,,,,,,,,56.521,240,2026-04-07 17:21:10.663,2026-04-07 17:21:10.719,52.414,128,2026-04-07 17:20:59.441,2026-04-07 17:20:59.494,49.607,210,2026-04-07 17:21:07.650,2026-04-07 17:21:07.700
2026-04-07 17:29:00.000,room-enter,0,0,0.000,250,0,12.861,,,,,,,,,,,,,53.906,127,2026-04-07 17:20:59.372,2026-04-07 17:20:59.426,51.525,156,2026-04-07 17:21:02.254,2026-04-07 17:21:02.305,51.378,49,2026-04-07 17:20:51.555,2026-04-07 17:20:51.607
